moqui.basic.LocalizedMessage,demo
zh,Travel and Entertainment,旅游和娱乐
zh,Treasury Stock,库存股票
zh,Trencher,挖沟机
zh,Truck,卡车
zh,Tuesday,周二
zh,Tune Up,调高
zh,Type,类型
zh,UPC-A,UPC-A
zh,UPC-E,UPC-E
zh,URL Parameter,网址参数
zh,US GAAP,美国公认会计准则
zh,US IRS Agriculture (943),美国国税局农业 (943)
zh,US IRS CT-1,美国国税局 CT-1
zh,US IRS Form 1040,美国国税局 1040 表格
zh,US IRS Form 1065,美国国税局 1065 表格
zh,US IRS Form 1120,美国国税局 1120 表格
zh,US IRS Form 1120S,美国国税局 1120S 表格
zh,US IRS Form 941,美国国税局 941 表格
zh,US IRS Form 943,美国国税局 943 表格
zh,US IRS Form 944,美国国税局 944 表格
zh,US IRS Form 990,美国国税局 990 表格
zh,US IRS Form 990-PF,美国国税局 990-PF 表格
zh,US IRS Form 990-T,美国国税局 990-T 表格
zh,US IRS Household (Sch H),美国 IRS 家庭 (Sch H)
zh,US IRS Medicare Qualified Government (941),美国 IRS 医疗保险合格政府 (941)
zh,US IRS Military (941),美国国税局军事 (941)
zh,US IRS Railroad (CT-1),美国国税局铁路 (CT-1)
zh,US IRS Regular (944),美国国税局常规 (944)
zh,US IRS Regular (all others) (941),美国国税局常规（所有其他） (941)
zh,US IRS Schedule H,美国国税局附表 H
zh,USA - C Corporation,美国 - C 公司
zh,"USA - Individual, Sole Proprietor, Single-member LLC",“美国 - 个人、独资经营者、单一成员有限责任公司”
zh,USA - LLC as C Corp,美国 - LLC 作为 C Corp
zh,USA - LLC as Partnership,美国 - LLC 作为合伙企业
zh,USA - LLC as S Corp,美国 - LLC 作为 S Corp
zh,USA - Partnership,美国 - 伙伴关系
zh,USA - S Corporation,美国 - S 公司
zh,USA - Trust/Estate,美国 - 信托/遗产
zh,Unauthorized Debit to Consumer Account Using Corporate SEC Code,使用公司 SEC 代码未经授权从消费者账户扣款
zh,Uncollected Funds,未收回的资金
zh,Undeposited Receipts,未存款收据
zh,Unearned Revenue,非劳动收入
zh,Unemployed,失业
zh,Uninvoiced Shipment Receipts,未开具发票的装运收据
zh,Union Dues,工会会费
zh,Unique Item,独特物品
zh,Unissued Fixed Asset,未发行固定资产
zh,Unknown,未知
zh,Unmarried Head of Household,未婚户主
zh,Unpaid,未付
zh,Unpaid Salary Time Off,无薪休假
zh,Unreceived Fixed Asset,未收到的固定资产
zh,Unreceived Inventory,未收到库存
zh,Unresolved,未解决
zh,Unsubscribe Notification,退订通知
zh,Unsubscribe Verify,取消订阅 验证
zh,Untimely Dishonored Return,不合时宜的耻辱回归
zh,Untimely Return,不合时宜的退货
zh,Up-Sell (Upgrade),追加销售（升级）
zh,Update,更新
zh,Update Personal Info Confirmation,更新个人信息确认
zh,Usage,用法
zh,Usage Charge,使用费
zh,Used to Produce,用于生产
zh,User Defined,用户自定义
zh,User Defined Content,用户定义的内容
zh,"User Login (basic, api_key, etc)",“用户登录（基本、api_key 等）”
zh,Utilities Electricity,公用事业电力
zh,Utilities Expense,公用事业费用
zh,Utilities Heating,公用事业供暖
zh,Utilities Trash/Recycle,公用事业垃圾/回收
zh,Utilities Vehicle Fuel,公用事业车辆燃料
zh,Utilities Water/Sewer,公用事业水/下水道
zh,Utility Software,实用软件
zh,VAT Tax (not added to totals),增值税（不添加到总数中）
zh,Vacation Hourly,每小时休假
zh,Vacation Salary,假期工资
zh,Valid/Complete,有效/完成
zh,Validate Authorize,验证授权
zh,Vehicle Expense,车辆费用
zh,Vehicle Identification Number (VIN),车辆识别号 (VIN)
zh,Vehicle Maintenance,机动车保养
zh,Velocity,速度
zh,Vendor Assigned,供应商分配
zh,Vendor Inventory/Tracking,供应商库存/跟踪
zh,Vendor Shipping Info,供应商运输信息
zh,Verified,已验证
zh,View,看法
zh,View Allow (One),查看允许（一）
zh,Virtual (with variants),虚拟（带有变体）
zh,Visa,签证
zh,Voter Registration,选民登记
zh,WE SYS APP,我们系统应用程序
zh,WIP Inventory,在制品库存
zh,Wachovia AR,美联银行
zh,Wage Garnishment,工资扣押
zh,Warehouse,仓库
zh,Warehouse Equipment,仓库设备
zh,Warnings,警告
zh,Warranty,保修单
zh,Web,网络
zh,Web External,网络外部
zh,Web Form,网页表格
zh,Web Site,网站
zh,Web URL/Address,网址/地址
zh,Wednesday,周三
zh,Weight,重量
zh,Wells Fargo ARP,富国银行 ARP
zh,West (270°),西 (270°)
zh,West Northwest (292.5°),西西北 (292.5°)
zh,West Southwest (247.5°),西西南 (247.5°)
zh,Wholesale Price,批发价
zh,Widowed/Widower,丧偶/鳏夫
zh,Wire Transfer,电汇
zh,With Parents,与家长
zh,Withdraw,提取
zh,Won't Complete,不会完成
zh,Won't Fix,不会修复
zh,Word of Mouth,口耳相传
zh,Work,工作
zh,Work Effort,工作努力
zh,Work Group (group only access),工作组（仅限组访问）
zh,Worker/Vendor Payment,工人/供应商付款
zh,Workweek,工作周
zh,Write Off,注销
zh,Write-off,注销
zh,Year Made,制造年份
zh,Yes,是的
zh,ZBA Credit Transfer,ZBA 学分转移
zh,ZBA Debit Transfer,ZBA 借记转账
zh,Zions Bank CSV,锡安银行 CSV
zh,between,之间
zh,check,查看
zh,date-find,日期查找
zh,date-time,约会时间
zh,display,展示
zh,display-entity,显示实体
zh,drop-down,落下
zh,eBay,易趣
zh,equals,等于
zh,file,文件
zh,greater,更大
zh,greater-equals,更大等于
zh,hidden,隐
zh,ignored,忽略
zh,image,图片
zh,in,在
zh,is-not-null,非空
zh,is-null,一片空白
zh,label,标签
zh,less,较少的
zh,less-equals,小于等于
zh,like,喜欢
zh,link,关联
zh,not-between,不介于
zh,not-equals,不等于
zh,not-in,不在
zh,not-like,不喜欢
zh,password,密码
zh,radio,收音机
zh,range-find,范围查找
zh,reset,重启
zh,submit,提交
zh,text-area,文本区域
zh,text-find,文本查找
zh,text-line,文本行
